,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,ClassEntropy
1497,5456.0,8.604471199523298,4.0,24.0,3.1780538303479458,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,24.0,0.041666666666666664,0.004398826979472141,-5.426417369175352,227.33333333333334,5.426417369175352,0.060117302052785926,0.4041422287390029,0.25,0.14797623656682052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714632742265977
285,194.0,5.267858159063328,8.0,29.0,3.367295829986474,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.07142857142857142,14.0,0.14948453608247422,-1.900562329076854,6.689655172413793,1.900562329076854,0.020618556701030927,0.30927835051546393,0.125,0.09714648844303993,2.0,194.0,11.555555555555555,35.93959266585606,312.0,54.979550674884884,79.91799867626888,67.44877467557689,12.469224000691998,6.705998922326289,8.503177363132735,7.604588142729512,0.8985892204032231,2.5463397438548068
1499,210.0,5.3471075307174685,3.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.03333333333333333,-3.4011973816621555,30.0,3.4011973816621555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156
307,990.0,6.897704943128636,11.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.3333333333333335,0.3,0.012121212121212121,-4.412798293340635,82.5,4.412798293340635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,2.0,15.0,8.5,6.5,17.0,-0.7643502587672972,0.1456135945397774,-0.3955075939134394,0.25833428786311224,-0.20583956242550117,0.35651919362646206,0.090977161262494,0.1597630818687559,3.4594316186372978
1500,210.0,5.3471075307174685,3.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.03333333333333333,-3.4011973816621555,30.0,3.4011973816621555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156
1502,245057.0,12.409246115528562,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,1.2242049808819989e-05,-11.310633826860453,81685.66666666667,11.310633826860453,0.20753947040892526,0.7924605295910747,0.5,0.2924605295910747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7367531276768885
1503,263256.0,12.48088222175928,10.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,5.318017443097213e-05,-9.841824892144022,18804.0,9.841824892144022,0.099234205488194,0.10064727869450268,0.1,0.0004502986885620677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321913459690609
23381,500.0,6.214608098422191,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.08333333333333333,12.0,0.024,-3.7297014486341915,41.666666666666664,3.7297014486341915,0.42,0.58,0.5,0.07999999999999999,5.0,25.0,14.909090909090908,6.815150841451387,164.0,-0.5882605507206038,-0.5882605507206038,-0.5882605507206038,0.0,-1.1612677471855892,-1.1612677471855892,-1.1612677471855892,0.0,0.9814538950336537
40496,500.0,6.214608098422191,10.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.014,-4.268697949366879,71.42857142857143,4.268697949366879,0.074,0.114,0.1,0.011313708498984762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3123077024871854
40499,5500.0,8.612503371220562,11.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,0.025,0.007272727272727273,-4.923623917106626,137.5,4.923623917106626,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4594316186372978
40509,690.0,6.536691597591305,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.020289855072463767,-3.8976342679760467,49.285714285714285,3.8976342679760463,0.4449275362318841,0.5550724637681159,0.5,0.05507246376811592,2.0,2.0,2.0,0.0,2.0,-1.9913782215898086,213.10886283673096,22.86715939958894,56.66418350819865,-1.9404952510579145,13.112071105201627,1.8613133686316787,3.7018442387393318,0.9912308989033523
1505,45781.0,10.731624436867815,20.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.55293680784605e-05,-9.633012148199706,15260.333333333334,9.633012148199706,0.03051484240186977,0.0634761145453354,0.049999999999999996,0.01576866127994564,31.0,31.0,31.0,0.0,31.0,-1.2001834042807138,-1.1999574928699053,-1.2000704485753095,0.0001129557054042607,-0.00818445620555394,-0.001229056956315783,-0.004706756580934861,0.0034776996246190786,4.245430965696704
1480,583.0,6.368187186350492,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.5,0.2222222222222222,0.017152658662092625,-4.065602093356446,58.3,4.065602093356446,0.2864493996569468,0.7135506003430532,0.5,0.21355060034305318,2.0,2.0,2.0,0.0,2.0,-0.5655478265928084,149.6183754365633,29.774769582243593,45.61256539496632,-0.28493665487447245,10.519023554210735,3.2823396331742796,3.427935920710727,0.8640904272487623
1481,28056.0,10.241957791820013,18.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.3333333333333333,0.000213857998289136,-8.450198322591959,4676.0,8.450198322591959,0.000962360992301112,0.16228257770173937,0.05555555555555555,0.05206741359580048,4.0,8.0,6.666666666666667,1.8856180831641267,20.0,-1.2294331058127006,-0.48025597351893756,-0.9620375248119445,0.3413576834559209,-0.005918289441417428,0.7557231881668565,0.2496741246774777,0.3578368669414837,3.5041590205347397
1483,164860.0,12.01285190786722,11.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.6666666666666667,0.6,4.246026931942254e-05,-10.066941758811906,23551.428571428572,10.066941758811906,0.008376804561446075,0.3304622103603057,0.09090909090909091,0.09801699501536425,4.0,5.0,4.5,0.5,9.0,-1.2000349583291638,-1.197093990962138,-1.1992028598469995,0.001096409098277387,-0.0018251085832853913,0.00010749443178725096,-0.0005112147265167538,0.0007556891384622924,2.7112560463465942
1487,2534.0,7.837554360881084,2.0,72.0,4.276666119016055,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,72.0,0.013888888888888888,0.028413575374901343,-3.560888241865029,35.19444444444444,3.560888241865029,0.06314127861089187,0.9368587213891081,0.5,0.4368587213891081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33979042531608006
1471,14980.0,9.61447125707121,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.0009345794392523365,-6.975413927455952,1070.0,6.975413927455952,0.4487983978638184,0.5512016021361815,0.5,0.05120160213618155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924223733876091
1476,13910.0,9.540363284917488,6.0,128.0,4.852030263919617,0.0,0.0,0.0,0.0,0.0,0.0,128.0,1.0,128.0,0.0078125,0.009202012940330698,-4.688333020997871,108.671875,4.688333020997871,0.1179726815240834,0.21631919482386772,0.16666666666666666,0.0387991450687278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5456958326360266
1219,399482.0,12.897923986853,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.09090909090909091,2.7535658677987993e-05,-10.50002871405463,36316.545454545456,10.50002871405463,0.1679399822770488,0.8320600177229512,0.5,0.33206001772295124,327.0,327.0,327.0,0.0,327.0,-1.1192289985126522,43.91305103396959,10.375192075146675,16.040716699703758,-0.8691288444238429,5.850601646969382,1.8945234322146753,2.3820553426271083,0.6529705653059997
728,4052.0,8.306965865368573,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.0017275419545903258,-6.361055716313261,578.8571428571429,6.361055716313261,0.23963474827245804,0.760365251727542,0.5,0.260365251727542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794432350758128
1233,945.0,6.851184927493743,7.0,6373.0,8.759825595314295,0.0,0.0,0.0,0.0,0.0,0.0,6373.0,1.0,6373.0,0.00015691197238349287,6.743915343915344,1.9086406678205514,0.14828181390240075,-1.9086406678205514,0.1259259259259259,0.14814814814814814,0.14285714285714285,0.007630796350188337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.805242549620453
1442,253.0,5.53338948872752,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.14624505928853754,-1.9224715760832958,6.837837837837838,1.9224715760832958,0.1067193675889328,0.8932806324110671,0.5,0.39328063241106714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899405783929423
1446,296.0,5.69035945432406,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.125,-2.0794415416798357,8.0,2.0794415416798357,0.12837837837837837,0.8716216216216216,0.5,0.3716216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5529740500544369
1443,661.0,6.493753839851686,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.05597579425113464,-2.882835927207462,17.864864864864863,2.882835927207462,0.07866868381240545,0.9213313161875946,0.5,0.42133131618759456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974707552319077
1444,1043.0,6.949856455000773,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.03547459252157239,-3.338938542356548,28.18918918918919,3.338938542356548,0.12176414189837009,0.87823585810163,0.5,0.3782358581016299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344106667605463
300,7797.0,8.9614943233096,26.0,617.0,6.424869023905388,0.0,0.0,0.0,0.0,0.0,0.0,617.0,1.0,617.0,0.0016207455429497568,0.07913299987174555,-2.536625299404212,12.636952998379254,2.536625299404212,0.03821982813902783,0.038476337052712584,0.038461538461538464,5.426150097177519e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70043827987653
310,11183.0,9.322150047028188,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.0005365286595725655,-7.530390577800134,1863.8333333333333,7.530390577800134,0.023249575248144506,0.9767504247518555,0.5,0.4767504247518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15931642036999769
311,937.0,6.842683282238422,2.0,49.0,3.8918202981106265,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,49.0,0.02040816326530612,0.052294557097118465,-2.9508629841277956,19.122448979591837,2.9508629841277956,0.04375667022411953,0.9562433297758804,0.5,0.45624332977588045,238.0,238.0,238.0,0.0,238.0,-3.0,532.6397647369181,51.34243125683762,102.51711678862756,-2.013638569034712,21.4781556814073,3.825055417924856,5.256697593135518,0.2592588744223089
312,2407.0,7.786136437783072,2.0,299.0,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,294.0,6.0,49.0,0.02040816326530612,0.12422102201911092,-2.0856928643923855,8.050167224080267,2.0856928643923855,0.1790610718737017,0.8209389281262983,0.5,0.3209389281262983,2.0,2.0,2.0,0.0,10.0,-0.7530308651615187,76.51404360927577,8.166697298660234,13.740855328091618,-0.8458223821302665,7.309850408416925,1.6888922739391223,1.8888777643613603,0.6780187068738636
316,2417.0,7.790282380703483,2.0,116.0,4.7535901911063645,0.0,0.0,0.0,0.0,0.0,0.0,103.0,14.0,7.357142857142857,0.13592233009708737,0.04799338022341746,-3.0366921895971184,20.836206896551722,3.0366921895971184,0.01406702523789822,0.9859329747621017,0.5,0.48593297476210173,2.0,2.0,2.0,0.0,26.0,-1.174902367842221,6.671651540791936,1.394419836558668,1.54556619861887,-0.8670069776564396,1.8527422276974457,0.34577825176561505,0.6795081438654516,0.1066848655670195
337,349.0,5.855071922202427,2.0,44.0,3.784189633918261,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,44.0,0.022727272727272728,0.12607449856733524,-2.070882288284166,7.931818181818182,2.070882288284166,0.2722063037249284,0.7277936962750716,0.5,0.22779369627507162,39.0,39.0,39.0,0.0,39.0,1.0097754504019951,19.8769498012229,5.705062215490501,4.2558833562237925,-3.251700090059548,-0.8945536281876131,-1.822304904509159,0.6137980965120938,0.8446127584974168
338,155.0,5.043425116919247,4.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.2857142857142857,3.5,0.05161290322580645,-2.9639835752394106,19.375,2.9639835752394106,0.12258064516129032,0.3161290322580645,0.24999999999999997,0.0758407609387661,3.0,21.0,7.666666666666667,6.155395104206462,46.0,-1.2785364412890838,-0.3202152249857635,-0.7993758331374237,0.4791606081516602,0.21417669127677957,0.539554274762924,0.3768654830198518,0.1626887917430722,1.9240283582739968
339,36.0,3.58351893845611,3.0,22.0,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,10.5,0.09523809523809523,0.6111111111111112,-0.49247648509779407,1.6363636363636365,0.49247648509779424,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,4.0,4.0,4.0,0.0,4.0,-3.0,4.855056086673713,-0.1256228345331421,1.4178373785869318,-0.4820022513197113,2.1296288283124536,0.46231814084083456,0.5994294539408921,1.584962500721156
1590,48842.0,10.79634587742716,2.0,14.0,2.6390573296152584,3620.0,0.07411653904426518,3.0,6.142254616928053e-05,6465.0,0.009454684785342825,6.0,9.0,0.6666666666666666,1.5,0.00028663854878997584,-8.157288547811902,3488.714285714286,8.157288547811902,0.23928176569346055,0.7607182343065395,0.5,0.26071823430653945,2.0,42.0,12.75,11.934718262280011,102.0,-0.18437271998310045,152.6773425724958,30.356406983997132,55.11746466574901,-0.3165151356965018,11.894293693350866,3.0637667124652275,4.253908655054817,0.7938438393644256
1118,28056.0,10.241957791820013,18.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.14285714285714285,7.0,0.000249500998003992,-8.296047642764702,4008.0,8.2960476427647,0.000962360992301112,0.16228257770173937,0.05555555555555555,0.05206741359580048,4.0,8.0,6.666666666666667,1.885618083164127,40.0,-1.2000000030490159,-1.2000000030490159,-1.2000000030490159,0.0,0.0,0.0,0.0,0.0,3.5041590205347397
346,50.0,3.912023005428146,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.6666666666666666,1.5,0.08,-2.5257286443082556,12.5,2.5257286443082556,0.5,0.5,0.5,0.0,5.0,50.0,20.0,21.213203435596427,60.0,1.0964023535684921,1.0964023535684921,1.0964023535684921,0.0,1.61332439318492,1.61332439318492,1.61332439318492,0.0,1.0
375,9961.0,9.206432747145165,9.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.0014054813773717498,-6.567375417529907,711.5,6.567375417529907,0.07850617407890774,0.16203192450557172,0.1111111111111111,0.02602109207171975,88.0,88.0,88.0,0.0,88.0,-0.8639695685228506,0.09875333009459952,-0.33242403718324454,0.26306838923753856,-0.37778818084321353,0.44803130179024203,-0.012242144324781276,0.2553592894886865,3.132069248447984
1120,19020.0,9.853246336099382,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.09090909090909091,0.0005783385909568874,-7.455351063301011,1729.090909090909,7.455351063301011,0.3516298633017876,0.6483701366982124,0.5,0.14837013669821242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935515244546736
377,600.0,6.396929655216146,6.0,61.0,4.110873864173311,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,30.0,0.03333333333333333,0.10166666666666667,-2.286055791042835,9.836065573770492,2.286055791042835,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,600.0,600.0,600.0,0.0,600.0,-1.2147674090432217,0.5833618934648928,-0.5627553012602785,0.5929956105792816,-0.6902593912836027,0.931437252798587,0.03391962865325628,0.2880046848241461,2.584962500721156
446,200.0,5.298317366548036,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.3333333333333333,0.035,-3.3524072174927233,28.571428571428573,3.3524072174927233,0.5,0.5,0.5,0.0,2.0,50.0,26.0,24.0,52.0,-0.626245279693542,-0.30350388548887963,-0.5305774702002013,0.11530169821815182,-0.09908680289765506,0.025759280856636133,-0.022715959330594886,0.051760063806080774,1.0
450,264.0,5.575949103146316,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,0.6666666666666666,0.015151515151515152,-4.189654742026425,66.0,4.189654742026425,0.07196969696969698,0.928030303030303,0.5,0.428030303030303,2.0,2.0,2.0,0.0,2.0,-0.670664545428298,0.9758262295286038,0.3328826718382005,0.718915487605833,-0.9689953470944194,0.9390949406134846,-0.07081362876744875,0.7829705415685121,0.37323155189232515
457,27.0,3.295836866004329,4.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.1111111111111111,-2.1972245773362196,9.0,2.1972245773362196,0.07407407407407407,0.4444444444444444,0.25,0.13192413748865747,27.0,27.0,27.0,0.0,27.0,2.3371210721002607,8.024487437862891,5.180804254981576,2.8436831828813154,1.7698954516545797,2.7024084079065482,2.236151929780564,0.46625647812598425,1.7852278922603562
458,841.0,6.734591659972948,4.0,70.0,4.248495242049359,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,70.0,0.014285714285714285,0.08323424494649227,-2.486096417923589,12.014285714285714,2.486096417923589,0.06539833531510107,0.3769322235434007,0.25,0.125047620513428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7874160492261657
461,100.0,4.605170185988092,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.3333333333333333,0.06,-2.8134107167600364,16.666666666666668,2.8134107167600364,0.27,0.73,0.5,0.22999999999999998,2.0,6.0,3.3333333333333335,1.8856180831641267,10.0,-0.11811286947778799,13.75127497532236,5.975672987161718,5.785692636297235,0.6367619884347588,3.2412485294669273,1.9104542441425878,1.0640435507829464,0.8414646362081756
462,23.0,3.1354942159291497,3.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,5.0,0.21739130434782608,-1.5260563034950494,4.6,1.5260563034950492,0.08695652173913043,0.6956521739130435,0.3333333333333333,0.2616734794966346,1.0,23.0,7.25,9.12071817347735,29.0,-0.016832067271355555,-0.016832067271355555,-0.016832067271355555,0.0,-0.6102761367390913,-0.6102761367390913,-0.6102761367390913,0.0,1.149229761516282
463,180.0,5.19295685089021,2.0,32.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,0.2222222222222222,4.5,0.17777777777777778,-1.7272209480904839,5.625,1.7272209480904839,0.1388888888888889,0.8611111111111112,0.5,0.36111111111111116,2.0,10.0,2.730769230769231,1.9524677148457008,71.0,-1.2000740763603814,4.4565014643456085,0.5428709023193291,1.8550643795256916,0.0,0.7763692721393664,0.4178861064331585,0.29049006615528983,0.5813214987637029
464,250.0,5.521460917862246,2.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.008,-4.8283137373023015,125.0,4.8283137373023015,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
465,97.0,4.574710978503383,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.75,0.5714285714285714,0.10309278350515463,-2.2721258855093374,9.7,2.272125885509337,0.24742268041237114,0.7525773195876289,0.5,0.25257731958762886,2.0,62.0,22.0,28.284271247461902,66.0,-1.7739833618858165,0.802695509523716,-0.7446776603724661,0.9796506938314353,-0.9344195515588831,0.7687502949227432,-0.020006182867714665,0.4680084082625283,0.8071675554288905
467,52.0,3.9512437185814275,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.25,0.17307692307692307,-1.754019141245208,5.777777777777778,1.754019141245208,0.4807692307692308,0.5192307692307693,0.5,0.019230769230769246,49.0,52.0,50.5,1.5,101.0,2.136473796962952,14.930274579913164,8.43163101459657,5.066886279220983,-3.4778426774847047,1.4712573471452979,-1.7887641062809734,1.9315162468690268,0.9989326546260582
468,72.0,4.276666119016055,6.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.041666666666666664,-3.1780538303479458,24.0,3.1780538303479458,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,67.0,67.0,67.0,0.0,67.0,-1.9382671435557541,-1.2325291871314819,-1.585398165343618,0.35286897821213614,0.03763301196086962,0.19138497393526957,0.1145089929480696,0.07687598098719997,2.584962500721156
472,87.0,4.465908118654584,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.034482758620689655,-3.367295829986474,29.0,3.367295829986474,0.40229885057471265,0.5977011494252874,0.5,0.09770114942528738,27.0,27.0,27.0,0.0,27.0,-0.9613898178351445,-0.4129994072897172,-0.6871946125624309,0.2741952052727137,-0.13266170519836698,0.7758862374884586,0.32161226614504584,0.4542739713434128,0.972279462096882
476,50.0,3.912023005428146,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.5,0.4,0.12,-2.120263536200091,8.333333333333334,2.120263536200091,0.5,0.5,0.5,0.0,50.0,50.0,50.0,0.0,50.0,1.2583858527654757,23.245582131663156,7.510725617939798,8.017131498853809,-2.2352598303717555,4.512968599925246,0.06782656366377005,2.5163732502827534,1.0
478,500.0,6.214608098422191,15.0,23.0,3.1354942159291497,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,0.2,0.046,-3.079113882493042,21.73913043478261,3.079113882493042,0.012,0.16,0.06666666666666668,0.04104414967108251,1.0,500.0,172.0,232.0014367771602,516.0,-1.2000096000384002,29.3171580183516,3.719867377006345,7.294668366369468,-0.06805469209789632,4.207797850482731,1.1538278831622806,1.0682475085007086,3.6485620760127775
479,92.0,4.5217885770490405,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.2,0.8333333333333334,0.10869565217391304,-2.2192034840549946,9.2,2.2192034840549946,0.20652173913043478,0.7934782608695652,0.5,0.2934782608695652,2.0,59.0,18.0,23.843238035132728,72.0,-1.8488212000455058,0.8254834223044565,-0.9207364447555243,0.9883093102796219,-1.0270240948262306,0.6672096998856605,-0.08942891778021295,0.517246660782294,0.7347813522127804
480,61.0,4.110873864173311,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,0.9,0.29508196721311475,-1.2205021062771466,3.388888888888889,1.2205021062771466,0.04918032786885246,0.639344262295082,0.25,0.23252554020498825,4.0,10.0,7.5,2.0,60.0,-1.1646474334582733,1.7096752389849756,-0.01695299805223822,0.9665974121020066,-0.2923446867836652,1.5298423398629326,0.622729607906187,0.5925896713535607,1.4307198723505536
679,1024.0,6.931471805599453,4.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.001953125,-6.238324625039508,512.0,6.238324625039508,0.091796875,0.39453125,0.25,0.10874320524188763,13.0,13.0,13.0,0.0,13.0,-0.12881361326285212,-0.12881361326285212,-0.12881361326285212,0.0,0.7248782647048582,0.7248782647048582,0.7248782647048582,0.0,1.8493804069130795
682,87.0,4.465908118654584,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.5,0.2222222222222222,0.11494252873563218,-2.1633230256605382,8.7,2.163323025660538,0.41379310344827586,0.5862068965517241,0.5,0.08620689655172412,2.0,15.0,8.5,6.5,17.0,-0.4144234322104796,0.9261937355417045,0.3045514848228652,0.4740095504922065,-0.769390264240961,0.5678640149903188,-0.3091625547171354,0.4331447275568808,0.9784493292686188
683,60.0,4.0943445622221,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.11666666666666667,-2.1484344131667874,8.571428571428571,2.1484344131667874,0.5,0.5,0.5,0.0,36.0,36.0,36.0,0.0,36.0,-0.33714180182592113,1.5675014016269042,0.29578494993903975,0.6246219853747174,-0.9474267485154875,-0.3861258660402882,-0.6178085799808462,0.18931221365720605,1.0
694,310.0,5.736572297479192,9.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.025806451612903226,-3.657130755799356,38.75,3.657130755799356,0.05806451612903226,0.13225806451612904,0.1111111111111111,0.02716458110608805,47.0,47.0,47.0,0.0,47.0,-1.2575249624587403,0.5794935327003286,-0.6937640357053947,0.6782422490749259,-0.3297509435514715,0.7888728635823559,0.1365047390321956,0.3774070251260265,3.120903063728351
713,52.0,3.9512437185814275,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.057692307692307696,-2.8526314299133175,17.333333333333332,2.8526314299133175,0.46153846153846156,0.5384615384615384,0.5,0.038461538461538436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957274520849256
