,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD
1121,294.0,5.683579767338681,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,0.5,0.03741496598639456,-3.285684494540311,26.727272727272727,3.285684494540311,0.2857142857142857,0.7142857142857143,0.5,0.2142857142857143
1471,14980.0,9.61447125707121,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.0009345794392523365,-6.975413927455952,1070.0,6.975413927455952,0.4487983978638184,0.5512016021361815,0.5,0.05120160213618155
1568,12958.0,9.469468637009902,4.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0006173792251890724,-7.390027095330066,1619.75,7.390027095330066,0.025312548232751968,0.3333847816020991,0.25,0.12996870053979517
1566,1212.0,7.10002716662926,2.0,100.0,4.605170185988092,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,100.0,0.01,0.08250825082508251,-2.4948569806411682,12.12,2.4948569806411682,0.49504950495049505,0.504950495049505,0.5,0.004950495049504955
1565,294.0,5.683579767338681,5.0,13.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.07692307692307693,0.04421768707482993,-3.1186304098771447,22.615384615384617,3.118630409877145,0.05102040816326531,0.6394557823129252,0.2,0.2210141162371819
1459,10218.0,9.231906149890744,10.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.0006850655705617538,-7.28599600083543,1459.7142857142858,7.28599600083543,0.058719906048150326,0.13857897827363477,0.1,0.022310894271477033
4134,3751.0,8.229777750081887,2.0,1776.0,7.4821189235521155,0.0,0.0,0.0,0.0,0.0,0.0,1776.0,1.0,1776.0,0.0005630630630630631,0.47347374033591044,-0.7476588265297719,2.1120495495495497,0.747658826529772,0.4577446014396161,0.5422553985603839,0.5,0.04225539856038388
1461,45211.0,10.719095699044251,2.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.7,1.4285714285714286,0.00035389617570945125,-7.94650697680447,2825.6875,7.94650697680447,0.11698480458295547,0.8830151954170445,0.5,0.38301519541704454
23380,2796.0,7.935945103353701,6.0,34.0,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,10.666666666666666,0.09375,0.012160228898426323,-4.409584578737539,82.23529411764706,4.409584578737539,0.09799713876967096,0.24320457796852646,0.16666666666666666,0.04953946136892236
4538,9873.0,9.19755903761145,5.0,32.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,32.0,0.03125,0.0032411627671427123,-5.731823134811723,308.53125,5.731823134811723,0.10108376380026335,0.2987946925959688,0.2,0.08222725479309748
1478,10299.0,9.239802082125802,6.0,561.0,6.329720905522696,0.0,0.0,0.0,0.0,0.0,0.0,561.0,1.0,561.0,0.0017825311942959,0.05447130789397029,-2.9100811766031054,18.358288770053477,2.9100811766031054,0.13651810855422858,0.1887561899213516,0.16666666666666666,0.018487679681459885
1220,39948.0,10.595333887363026,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.09090909090909091,0.00027535796535496144,-8.197438614564655,3631.6363636363635,8.197438614564655,0.16841894462801643,0.8315810553719836,0.5,0.33158105537198357
6332,540.0,6.29156913955832,2.0,39.0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,0.8181818181818182,1.2222222222222223,0.07222222222222222,-2.6280074934286737,13.846153846153847,2.6280074934286737,0.4222222222222222,0.5777777777777777,0.5,0.07777777777777775
1560,2126.0,7.661997558901893,3.0,35.0,3.5553480614894135,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,35.0,0.02857142857142857,0.016462841015992474,-4.106649497412479,60.74285714285714,4.106649497412479,0.08278457196613359,0.7784571966133584,0.3333333333333333,0.31557851942549303
1557,4177.0,8.337348564497175,3.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.0019152501795547043,-6.2579070228173395,522.125,6.2579070228173395,0.3167344984438592,0.34642087622695716,0.3333333333333333,0.012371125927747908
1556,120.0,4.787491742782046,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.16666666666666666,6.0,0.05,-2.995732273553991,20.0,2.995732273553991,0.49166666666666664,0.5083333333333333,0.5,0.008333333333333331
1555,1000.0,6.907755278982137,8.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,9.25,0.10810810810810811,0.04,-3.2188758248682006,25.0,3.2188758248682006,0.089,0.24,0.12499999999999999,0.044927719728470525
1554,500.0,6.214608098422191,5.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.6,0.625,0.024,-3.7297014486341915,41.666666666666664,3.7297014486341915,0.086,0.384,0.2,0.10142977866484773
1549,750.0,6.620073206530356,8.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,9.25,0.10810810810810811,0.05333333333333334,-2.9311937524164198,18.75,2.9311937524164198,0.076,0.22,0.125,0.050291373238580614
1553,700.0,6.551080335043404,3.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.6,0.625,0.017142857142857144,-4.0661736852554045,58.333333333333336,4.0661736852554045,0.3057142857142857,0.35,0.3333333333333333,0.019668453741012743
1552,1100.0,7.003065458786462,5.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.6,0.625,0.01090909090909091,-4.518158808998462,91.66666666666667,4.518158808998462,0.1390909090909091,0.2772727272727273,0.2,0.04811487630986959
1551,400.0,5.991464547107982,8.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,9.25,0.10810810810810811,0.1,-2.3025850929940455,10.0,2.302585092994046,0.0625,0.2775,0.125,0.07563274753702923
1548,2500.0,7.824046010856292,3.0,100.0,4.605170185988092,0.0,0.0,0.0,0.0,0.0,0.0,58.0,43.0,1.3488372093023255,0.7413793103448276,0.04,-3.2188758248682006,25.0,3.2188758248682006,0.0784,0.4692,0.3333333333333333,0.1803955160812547
1547,1000.0,6.907755278982137,2.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,0.05,0.02,-3.912023005428146,50.0,3.912023005428146,0.259,0.741,0.5,0.241
1562,64.0,4.1588830833596715,2.0,4702.0,8.455743229100015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4703.0,0.0,0.0,73.46875,4.296860145740343,0.013611229264142918,-4.296860145740343,0.453125,0.546875,0.5,0.046875
1570,4839.0,8.48446336679332,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.0010332713370531101,-6.875025454359218,967.8,6.875025454359218,0.05393676379417235,0.9460632362058277,0.5,0.44606323620582766
1542,1183.0,7.075808863978387,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00253592561284869,-5.977196575310277,394.3333333333333,5.977196575310277,0.0076077768385460695,0.915469146238377,0.2,0.3579071086805555
1543,1080.0,6.984716320118266,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.002777777777777778,-5.886104031450156,360.0,5.886104031450156,0.007407407407407408,0.9111111111111111,0.2,0.355807684525822
1544,1277.0,7.152268856032539,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0023492560689115116,-6.053656567364429,425.6666666666667,6.053656567364429,0.007047768206734534,0.9162098668754894,0.20000000000000004,0.35828379286599976
1545,1252.0,7.132497551660044,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0023961661341853034,-6.033885262991935,417.3333333333333,6.033885262991934,0.00718849840255591,0.9137380191693291,0.19999999999999998,0.3570538047547437
1546,1112.0,7.013915474810528,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.002697841726618705,-5.915303186142418,370.6666666666667,5.915303186142418,0.008093525179856115,0.908273381294964,0.2,0.3543706820565531
1538,8753.0,9.077151777732437,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0003427396321261282,-7.978539489064328,2917.6666666666665,7.978539489064328,0.006397806466354392,0.9442476865074831,0.19999999999999998,0.37219076749960717
1539,9172.0,9.123910643977796,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0003270824247710423,-8.025298355309685,3057.3333333333335,8.025298355309685,0.006105538595726123,0.9452682075883122,0.2,0.3726948522001367
1540,9285.0,9.136155473786806,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00032310177705977385,-8.037543185118697,3095.0,8.037543185118697,0.006246634356488961,0.9446418955304254,0.2,0.37237942923593653
1541,8654.0,9.06577692078483,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00034666050381326557,-7.96716463211672,2884.6666666666665,7.96716463211672,0.006470996071180957,0.9432632308758956,0.2,0.37169931070379314
1528,1623.0,7.392031567514591,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0018484288354898336,-6.293419278846481,541.0,6.293419278846481,0.017868145409735057,0.9063462723351817,0.19999999999999998,0.353190549408428
1529,1521.0,7.327123292259293,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0019723865877712033,-6.2285110035911835,507.0,6.2285110035911835,0.0190664036817883,0.9000657462195923,0.19999999999999998,0.35005287796183665
40668,67557.0,11.120726964962449,3.0,42.0,3.7376696182833684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0006216972334473111,-7.383057346679081,1608.5,7.383057346679081,0.09546012996432642,0.6583033586452921,0.3333333333333333,0.2378900548746909
1530,1515.0,7.323170717943469,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0019801980198019802,-6.22455842927536,505.0,6.22455842927536,0.01914191419141914,0.900990099009901,0.20000000000000004,0.35051729961136235
1531,10176.0,9.227787285579904,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00029481132075471697,-8.129174996911793,3392.0,8.129174996911793,0.0025550314465408804,0.9621658805031447,0.2,0.3811313204020766
959,12960.0,9.469622969906265,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0006172839506172839,-7.3901814282264295,1620.0,7.3901814282264295,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666
1532,10668.0,9.275003885301905,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00028121484814398203,-8.176391596633795,3556.0,8.176391596633795,0.0024371953505811774,0.9640982377202849,0.2,0.38209323531201983
1533,10386.0,9.248214024404264,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00028885037550548814,-8.149601735736155,3462.0,8.149601735736155,0.0024070864625457345,0.9634122857693048,0.2,0.3817513092105573
1534,10190.0,9.229162126216771,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0002944062806673209,-8.13054983754866,3396.6666666666665,8.13054983754866,0.0025515210991167814,0.9622178606476938,0.2,0.3811571793989686
1536,10130.0,9.22325659724273,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00029615004935834154,-8.12464430857462,3376.6666666666665,8.12464430857462,0.002566633761105627,0.9620927936821323,0.2,0.3810953377365089
1537,28626.0,10.262070674744162,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.00010479983232026829,-9.163458386076051,9542.0,9.163458386076051,0.0024802626982463496,0.9744637741912946,0.19999999999999998,0.38724647565321146
1516,88.0,4.477336814478207,4.0,90.0,4.499809670330265,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,90.0,0.011111111111111112,1.0227272727272727,0.022472855852058573,0.9777777777777777,-0.022472855852058625,0.18181818181818182,0.38636363636363635,0.25,0.08154943235458706
1517,47.0,3.8501476017100584,5.0,90.0,4.499809670330265,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,90.0,0.011111111111111112,1.9148936170212767,0.6496620686202065,0.5222222222222223,-0.6496620686202064,0.10638297872340426,0.425531914893617,0.2,0.11622553432976734
1518,47.0,3.8501476017100584,4.0,90.0,4.499809670330265,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,90.0,0.011111111111111112,1.9148936170212767,0.6496620686202065,0.5222222222222223,-0.6496620686202064,0.06382978723404255,0.425531914893617,0.25,0.1357164981082242
1523,310.0,5.736572297479192,3.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.01935483870967742,-3.9448128282511368,51.666666666666664,3.9448128282511368,0.1935483870967742,0.4838709677419355,0.3333333333333333,0.11876732276545442
1524,310.0,5.736572297479192,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.01935483870967742,-3.9448128282511368,51.666666666666664,3.9448128282511368,0.3225806451612903,0.6774193548387096,0.5,0.17741935483870966
1525,5456.0,8.604471199523298,4.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.00036656891495601173,-7.911324018963353,2728.0,7.911324018963353,0.060117302052785926,0.4041422287390029,0.25,0.14797623656682052
1507,7400.0,8.909235279192261,2.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,0.05,0.002702702702702703,-5.91350300563827,370.0,5.91350300563827,0.4995945945945946,0.5004054054054055,0.5,0.000405405405405429
1508,403.0,5.998936561946683,5.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.01240694789081886,-4.389498649512583,80.6,4.389498649512583,0.05955334987593052,0.3200992555831266,0.2,0.11478512318052436
1509,149332.0,11.913927294117723,22.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,2.6785953446012912e-05,-10.527632932997834,37333.0,10.527632932997834,0.006100500897329441,0.1472624755578175,0.04545454545454545,0.03958591222905473
1510,569.0,6.343880434126331,2.0,30.0,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,30.0,0.03333333333333333,0.05272407732864675,-2.9426830524641754,18.966666666666665,2.9426830524641754,0.37258347978910367,0.6274165202108963,0.5,0.12741652021089633
977,20000.0,9.903487552536127,2.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.0008,-7.1308988302963465,1250.0,7.1308988302963465,0.04065,0.95935,0.5,0.45935000000000004
1512,200.0,5.298317366548036,5.0,13.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.07692307692307693,0.065,-2.7333680090865,15.384615384615385,2.7333680090865,0.05,0.28,0.2,0.08006247560499238
1513,123.0,4.812184355372417,5.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.08333333333333333,0.0975609756097561,-2.327277705584417,10.25,2.327277705584417,0.04065040650406504,0.3902439024390244,0.2,0.13064916700228077
1514,360.0,5.886104031450156,10.0,1300.0,7.170119543449628,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1.0,1300.0,0.0007692307692307692,3.611111111111111,1.2840155119994725,0.27692307692307694,-1.2840155119994723,0.1,0.1,0.1,0.0
1488,195.0,5.272999558563747,2.0,22.0,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,22.0,0.045454545454545456,0.11282051282051282,-2.1819571052054307,8.863636363636363,2.1819571052054307,0.24615384615384617,0.7538461538461538,0.5,0.25384615384615383
1489,5404.0,8.59489469908009,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.000925240562546262,-6.985456786645989,1080.8,6.985456786645989,0.2934863064396743,0.7065136935603257,0.5,0.20651369356032567
1490,182.0,5.204006687076795,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.08333333333333333,0.06593406593406594,-2.7191000372887952,15.166666666666666,2.719100037288795,0.2857142857142857,0.7142857142857143,0.5,0.2142857142857143
1491,1600.0,7.3777589082278725,100.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.04,-3.2188758248682006,25.0,3.2188758248682006,0.01,0.01,0.009999999999999998,1.734723475976807e-18
1493,1599.0,7.377133712833954,100.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.04002501563477173,-3.2182506294742823,24.984375,3.2182506294742823,0.009380863039399626,0.010006253908692933,0.01,6.22256058228029e-05
1497,5456.0,8.604471199523298,4.0,24.0,3.1780538303479458,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,24.0,0.041666666666666664,0.004398826979472141,-5.426417369175352,227.33333333333334,5.426417369175352,0.060117302052785926,0.4041422287390029,0.25,0.14797623656682052
285,194.0,5.267858159063328,8.0,29.0,3.367295829986474,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.07142857142857142,14.0,0.14948453608247422,-1.900562329076854,6.689655172413793,1.900562329076854,0.020618556701030927,0.30927835051546393,0.125,0.09714648844303993
292,690.0,6.536691597591305,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.020289855072463767,-3.8976342679760467,49.285714285714285,3.8976342679760463,0.4449275362318841,0.5550724637681159,0.5,0.05507246376811592
1499,210.0,5.3471075307174685,3.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.03333333333333333,-3.4011973816621555,30.0,3.4011973816621555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
307,990.0,6.897704943128636,11.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.3333333333333335,0.3,0.012121212121212121,-4.412798293340635,82.5,4.412798293340635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
1500,210.0,5.3471075307174685,3.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.03333333333333333,-3.4011973816621555,30.0,3.4011973816621555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
38,3772.0,8.235360643753348,2.0,29.0,3.367295829986474,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,0.30434782608695654,3.2857142857142856,0.0076882290562036056,-4.868064813766874,130.06896551724137,4.868064813766874,0.0612407211028632,0.9387592788971368,0.5,0.43875927889713684
1502,245057.0,12.409246115528562,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,1.2242049808819989e-05,-11.310633826860453,81685.66666666667,11.310633826860453,0.20753947040892526,0.7924605295910747,0.5,0.2924605295910747
1503,263256.0,12.48088222175928,10.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,5.318017443097213e-05,-9.841824892144022,18804.0,9.841824892144022,0.099234205488194,0.10064727869450268,0.1,0.0004502986885620677
23381,500.0,6.214608098422191,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.08333333333333333,12.0,0.024,-3.7297014486341915,41.666666666666664,3.7297014486341915,0.42,0.58,0.5,0.07999999999999999
40496,500.0,6.214608098422191,10.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.014,-4.268697949366879,71.42857142857143,4.268697949366879,0.074,0.114,0.1,0.011313708498984762
40499,5500.0,8.612503371220562,11.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,0.025,0.007272727272727273,-4.923623917106626,137.5,4.923623917106626,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
40509,690.0,6.536691597591305,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.020289855072463767,-3.8976342679760467,49.285714285714285,3.8976342679760463,0.4449275362318841,0.5550724637681159,0.5,0.05507246376811592
1505,45781.0,10.731624436867815,20.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.55293680784605e-05,-9.633012148199706,15260.333333333334,9.633012148199706,0.03051484240186977,0.0634761145453354,0.049999999999999996,0.01576866127994564
1480,583.0,6.368187186350492,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.5,0.2222222222222222,0.017152658662092625,-4.065602093356446,58.3,4.065602093356446,0.2864493996569468,0.7135506003430532,0.5,0.21355060034305318
1481,28056.0,10.241957791820013,18.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.3333333333333333,0.000213857998289136,-8.450198322591959,4676.0,8.450198322591959,0.000962360992301112,0.16228257770173937,0.05555555555555555,0.05206741359580048
1483,164860.0,12.01285190786722,11.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.6666666666666667,0.6,4.246026931942254e-05,-10.066941758811906,23551.428571428572,10.066941758811906,0.008376804561446075,0.3304622103603057,0.09090909090909091,0.09801699501536425
1487,2534.0,7.837554360881084,2.0,72.0,4.276666119016055,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,72.0,0.013888888888888888,0.028413575374901343,-3.560888241865029,35.19444444444444,3.560888241865029,0.06314127861089187,0.9368587213891081,0.5,0.4368587213891081
1471,14980.0,9.61447125707121,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.0009345794392523365,-6.975413927455952,1070.0,6.975413927455952,0.4487983978638184,0.5512016021361815,0.5,0.05120160213618155
1476,13910.0,9.540363284917488,6.0,128.0,4.852030263919617,0.0,0.0,0.0,0.0,0.0,0.0,128.0,1.0,128.0,0.0078125,0.009202012940330698,-4.688333020997871,108.671875,4.688333020997871,0.1179726815240834,0.21631919482386772,0.16666666666666666,0.0387991450687278
1219,399482.0,12.897923986853,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.09090909090909091,2.7535658677987993e-05,-10.50002871405463,36316.545454545456,10.50002871405463,0.1679399822770488,0.8320600177229512,0.5,0.33206001772295124
728,4052.0,8.306965865368573,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.0017275419545903258,-6.361055716313261,578.8571428571429,6.361055716313261,0.23963474827245804,0.760365251727542,0.5,0.260365251727542
1233,945.0,6.851184927493743,7.0,6373.0,8.759825595314295,0.0,0.0,0.0,0.0,0.0,0.0,6373.0,1.0,6373.0,0.00015691197238349287,6.743915343915344,1.9086406678205514,0.14828181390240075,-1.9086406678205514,0.1259259259259259,0.14814814814814814,0.14285714285714285,0.007630796350188337
23512,98050.0,11.493232831624493,2.0,28.0,3.332204510175204,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,28.0,0.03571428571428571,0.0002855685874553799,-8.161028321449288,3501.785714285714,8.161028321449288,0.47142274349821517,0.5285772565017848,0.5,0.028577256501784803
40536,8378.0,9.03336450150698,2.0,122.0,4.804021044733257,0.0,0.0,0.0,0.0,0.0,0.0,59.0,64.0,0.921875,1.0847457627118644,0.01456194795894008,-4.229343456773724,68.67213114754098,4.229343456773724,0.16471711625686322,0.8352828837431368,0.5,0.33528288374313675
1442,253.0,5.53338948872752,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.14624505928853754,-1.9224715760832958,6.837837837837838,1.9224715760832958,0.1067193675889328,0.8932806324110671,0.5,0.39328063241106714
1446,296.0,5.69035945432406,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.125,-2.0794415416798357,8.0,2.0794415416798357,0.12837837837837837,0.8716216216216216,0.5,0.3716216216216216
1443,661.0,6.493753839851686,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.05597579425113464,-2.882835927207462,17.864864864864863,2.882835927207462,0.07866868381240545,0.9213313161875946,0.5,0.42133131618759456
1444,1043.0,6.949856455000773,2.0,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,0.02702702702702703,0.03547459252157239,-3.338938542356548,28.18918918918919,3.338938542356548,0.12176414189837009,0.87823585810163,0.5,0.3782358581016299
300,7797.0,8.9614943233096,26.0,617.0,6.424869023905388,0.0,0.0,0.0,0.0,0.0,0.0,617.0,1.0,617.0,0.0016207455429497568,0.07913299987174555,-2.536625299404212,12.636952998379254,2.536625299404212,0.03821982813902783,0.038476337052712584,0.038461538461538464,5.426150097177517e-05
310,11183.0,9.322150047028188,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.0005365286595725655,-7.530390577800134,1863.8333333333333,7.530390577800134,0.023249575248144506,0.9767504247518555,0.5,0.4767504247518555
311,937.0,6.842683282238422,2.0,49.0,3.8918202981106265,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,49.0,0.02040816326530612,0.052294557097118465,-2.9508629841277956,19.122448979591837,2.9508629841277956,0.04375667022411953,0.9562433297758804,0.5,0.45624332977588045
